,dire_name,dire_score,dire_team_id,duration,league_name,leagueid,match_id,radiant_name,radiant_score,radiant_team_id,radiant_win,series_id,series_type,start_time
174,Team Liquid,18,2163.0,2824,ESL One Hamburg 2017,5609,3525994644,Virtus.pro,31,1883502.0,True,173232.0,1.0,1509120812
175,PENTA Sports,19,3704482.0,1532,D2CL Season 7,4820,3525981311,Team Empire,33,46.0,True,173247.0,1.0,1509120370
176,Team Empire,35,46.0,2050,D2CL Season 7,4820,3525870741,PENTA Sports,21,3704482.0,False,173247.0,1.0,1509116650
177,Team NirVanA,46,4536429.0,1510,ESL India Premiership - 2017 Edition,5407,3525847331,Five Little Chimps,12,2782219.0,False,0.0,0.0,1509115951
178,Virtus.pro,33,1883502.0,3572,ESL One Hamburg 2017,5609,3525840237,Team Liquid,49,2163.0,True,173232.0,1.0,1509115686
179,xRG Gaming,14,1732138.0,1630,ESL India Premiership - 2017 Edition,5407,3525780344,Akatsuki,30,3846296.0,True,0.0,0.0,1509114636
180,Team Liquid,17,2163.0,2317,ESL One Hamburg 2017,5609,3525706372,Virtus.pro,40,1883502.0,True,173232.0,1.0,1509111555
181,Team Secret,27,1838315.0,2129,ESL One Hamburg 2017,5609,3525554974,Newbee,14,1375614.0,False,173192.0,1.0,1509106778
182,Newbee,33,1375614.0,2133,ESL One Hamburg 2017,5609,3525446194,Team Secret,6,1838315.0,False,173192.0,1.0,1509102824
183,Newbee,17,1375614.0,2143,ESL One Hamburg 2017,5609,3525348758,Team Secret,28,1838315.0,True,173192.0,1.0,1509098734
184,Vici Gaming Potential,23,2833354.0,2334,Dota 2 Professional League 2016,4920,3525307642,Team Braveheart,13,1983234.0,False,173184.0,1.0,1509096919
